credit_card,date,nick
4913304296809670,1986-12-27,User-centric
5416200904848200,1985-10-07,core
3583933379502413,1987-07-06,even-keeled
3564184361846797,1993-12-27,info-mediaries
4041598140244043,1963-05-06,throughput
560224683592441410,1976-02-08,Business-focused
5602222215591851,1963-10-13,algorithm
4508135012725050,1966-12-09,User-friendly
5602221909285945,1960-10-20,Graphical User Interface
3553994201538088,1964-05-19,moderator
5594344983789333,2001-01-02,conglomeration
3563035203373104,1988-03-10,motivating
337941386052004,1965-05-26,help-desk
201831844535729,1987-09-09,bifurcated
3582390652140489,1997-10-18,data-warehouse
3559682794682835,1989-06-21,approach
4041595415654,1952-12-16,foreground
4017953411295,1981-06-06,support
3577306773461635,1954-03-27,national
3580427241771846,1968-07-15,Upgradable
3573551999760526,1993-08-25,non-volatile
3544139227626788,1968-04-05,Self-enabling
5641829474532243278,2000-09-15,attitude-oriented
630435257228026436,1981-04-11,multi-state
201725656108932,1975-12-09,orchestration
3566979040503695,1998-05-26,time-frame
6304476418465966918,1950-02-28,portal
5100188104097820,1996-07-25,local area network
30054994396282,1986-06-03,Inverse
5100176887971584,1967-06-26,Reactive
56022508894616901,1965-06-03,policy
4405382308290894,1969-01-15,matrix
201406850773553,1978-07-24,Cross-platform
6334181237106358,1979-12-07,disintermediate
3578780158641640,1957-05-29,alliance
3543753056654231,1976-01-12,info-mediaries
676741906079318605,1983-04-22,Mandatory
5020145715640041010,1959-04-19,maximized
6333468096655018,1974-11-09,Expanded
4917003006376931,1999-03-18,array
3529428759280208,1959-10-07,Enterprise-wide
3532310513854293,1971-12-15,asymmetric
3530565217526826,1982-02-04,demand-driven
3550596903452030,1997-04-30,incremental
5602236060022556,1968-12-01,client-server
3533829119068213,1976-07-03,Visionary
3539453893217088,1984-05-30,Function-based
3546344180112895,1973-02-13,analyzing
4917516305754250,1960-07-04,Automated
3544837024642938,1976-03-17,algorithm
201641448385219,1965-02-18,contextually-based
30305977708673,1956-10-02,Advanced
3538821522249238,1993-02-26,motivating
3584320247224884,1964-02-09,challenge
5541581788687113,1976-10-04,secondary
374288888758660,1980-06-10,project
5108759658167805,1996-07-16,framework
5437419423711328,1953-05-11,Face to face
490568251796355150,1976-01-03,adapter
4905069945148696248,1953-10-26,Universal
3566932675639052,1995-04-08,focus group
060406203065607107,1978-08-17,actuating
6771643152080413,1957-06-30,Exclusive
30551557261993,1970-08-23,superstructure
6398467254056201,1976-01-06,directional
6380345141971206,1963-02-16,empowering
5100130350018282,1970-12-25,function
5100135363055973,1972-07-01,tangible
4913109651760859,1983-12-07,core
3562333432787157,1959-10-13,Focused
4026935100629004,1970-06-03,knowledge base
4405083855824560,1961-07-16,standardization
3583061627310130,1984-11-26,web-enabled
3573550608496290,1958-02-26,Operative
3580786311004291,1995-01-27,database
372301415585720,1960-10-18,success
56022388914395384,1965-05-07,content-based
6331102006194071921,1960-03-13,Balanced
3570215066415702,1988-08-14,array
3576128840242512,1972-12-14,interactive
3588022365276896,1955-11-21,portal
3545307577626307,1992-01-30,intranet
4913054873700723,1995-12-11,Streamlined
3574832875878346,1958-03-22,Configurable
3530783500569292,1967-10-12,Up-sized
6761390886957993,1965-11-26,national
30475664940192,1994-04-17,attitude-oriented
5602212530441803382,1967-03-16,Phased
4143110919549,1968-06-19,fault-tolerant
6331108631773767,1952-09-11,Inverse
3555819958751790,1951-03-30,Configurable
5602252154325631,1966-03-13,capacity
30474275093129,1983-08-22,contingency
3529585820225924,1990-09-15,open architecture
3587505949739026,1972-03-09,Fundamental
5485589636821980,1974-10-02,intermediate
3557150428188183,1956-09-16,system engine
3529510036455800,1962-06-22,concept
3551832563426439,1997-06-19,Exclusive
6767997188967456,1981-07-30,Switchable
4405116664182521,1996-12-24,superstructure
4911370840187176677,1987-02-10,Balanced
3581908598948433,1998-06-27,multi-state
67614673172347081,1953-02-17,Open-source
6759696483461419,1978-07-06,Upgradable
3535333142977191,1965-03-01,Distributed
560225352151929707,1979-08-12,hub
3573653100766507,1986-12-02,model
3571575116155155,1994-05-11,Reactive
5602258818859287,1950-10-29,Visionary
5459364775892610,1999-07-05,Polarised
5002357916413850,1996-10-08,motivating
3534226817607682,1951-01-15,portal
5602211216516983,1971-02-09,Cloned
3573118135106673,1998-07-20,Pre-emptive
58939744089140484,1989-12-31,approach
3554323135473957,1960-09-11,Realigned
4041591536942692,1967-09-13,zero tolerance
3568603806780887,1967-05-07,stable
5602253579695525,1979-01-19,secondary
3585290435182963,1996-01-15,Proactive
564182240808788431,1998-02-12,directional
3567231104231220,1962-11-26,clear-thinking
5100173249779276,1994-06-02,extranet
3553630417251161,1977-10-27,service-desk
503818853752947223,1985-02-16,open architecture
3589784113032447,1953-10-10,responsive
4445629553695223,1987-11-07,superstructure
3560183141390484,1974-04-09,Multi-lateral
6392510910015883,1965-10-31,Balanced
3582214042854775,1997-01-23,neural-net
5602230773694310782,1996-04-02,incremental
4175003594085586,1970-12-09,Automated
3575388922342140,1964-12-27,internet solution
201416825570521,1954-04-14,project
3568096681710170,1964-09-23,background
5602218289615528804,1966-04-28,analyzer
3588880222205030,1982-03-10,software
5413393780813381,1981-09-24,installation
4913925420032092,1971-07-10,Realigned
3562761187053302,1979-05-21,Expanded
3544168807042108,1953-03-25,Horizontal
4844826719814790,1996-01-15,dynamic
6331100865835869965,1990-08-27,composite
3587773336283467,1952-09-21,project
3554800127267638,1972-12-22,Balanced
5100136747697050,1988-08-01,instruction set
3532682494663715,1954-04-10,monitoring
3569737690900992,1993-08-05,Networked
3570776654613867,1969-08-27,optimal
3576047343808092,1991-11-20,Advanced
6709830919746408803,1961-07-22,Devolved
4936232953658688115,1995-04-09,infrastructure
3572038728814569,1985-01-22,intranet
3565112182044846,1953-09-29,Graphical User Interface
6370731618953235,1969-01-19,Exclusive
676264278586312167,2000-05-14,strategy
6304579118831073516,1957-08-05,encompassing
5610325808422998737,2000-02-25,concept
3558082093209276,1982-04-21,Implemented
3556555657861345,1951-05-30,high-level
3561961447399906,1980-10-26,implementation
490335829168362763,1989-02-02,moratorium
4913446727886767,1973-01-01,Multi-tiered
5007660449814386,1993-10-02,function
4175001073152885,1987-08-11,client-server
3537503578054172,1986-02-20,Realigned
3545141511638080,1954-08-16,high-level
490303299040205564,1985-11-30,real-time
341361166172563,1970-10-23,multi-tasking
201532237434732,1995-03-18,conglomeration
30235752350583,2000-01-25,Ameliorated
060457947300913831,1974-03-07,customer loyalty
201414349359760,1970-12-08,maximized
3551102227555886,1991-03-31,protocol
3587357087227483,1963-03-09,complexity
30022498625530,1983-11-08,Customer-focused
3535228646055157,1954-11-04,Multi-layered
3536922131499024,1988-08-12,Managed
3543247148257202,1978-11-26,interface
5048373612609242,1976-01-20,artificial intelligence
6385878547231119,1968-09-18,Assimilated
36078190024004,1962-10-25,conglomeration
67715277435762140,1976-12-16,challenge
4017956080388057,1964-08-08,zero defect
3559827844077052,1991-06-30,customer loyalty
3565772730945776,1976-07-14,interactive
3577826226376288,1995-03-30,complexity
5007663451793118,1978-02-09,User-centric
5602214653612980264,1973-07-21,projection
490524413322986279,1986-08-12,intermediate
3579806413908935,1976-02-19,composite
3563309717662751,1953-12-03,Adaptive
3577887189809681,1986-07-17,hybrid
3572248968436730,1980-05-22,regional
4610370779235,1972-01-30,national
5100141832881056,1980-11-15,dedicated
3581820598617977,1970-08-16,Business-focused
201504229458474,1976-02-14,User-friendly
3567563683734764,1980-06-30,Monitored
3572202298778766,1994-11-14,protocol
3548391945382493,1970-11-27,instruction set
5602257859945385,1971-12-04,local
5002355081506276,1979-04-26,Integrated
6331100997949230,1974-10-04,Enterprise-wide
3551061580420841,1984-12-27,Function-based
3571122445615607,1954-12-31,interactive
4508803599066905,1979-07-24,Triple-buffered
3567951313504212,1958-06-30,collaboration
3548761140077454,2000-01-29,needs-based
3566395129728188,1979-09-05,optimizing
4936340522641910,1989-10-30,pricing structure
6334413227200413216,1950-06-12,Decentralized
5100143915415638,1993-11-05,concept
3578188223894436,1994-03-05,capacity
3570426896744597,1996-08-24,Assimilated
3580815426471374,1991-07-15,stable
3530471534257643,1979-10-21,tangible
3563214444502256,1971-03-18,throughput
3576945518680685,1984-02-06,multi-tasking
201811686967271,1969-12-14,Enhanced
3549745036056184,1971-11-30,mobile
30030325133263,1978-04-21,Exclusive
67714296395236425,1998-09-04,interactive
3528913059890567,1968-03-05,groupware
67612206725226643,1959-12-24,local area network
5002359543247396,1955-09-05,dedicated
3534159037629717,1959-12-04,Operative
4026830579448079,1968-11-15,open architecture
3571578767312000,1975-11-21,Extended
201933753183309,1965-02-12,forecast
589391789639311395,1958-04-17,user-facing
5010122966393836,1957-08-05,success
374453404682907,1998-09-07,context-sensitive
3545973993552474,1961-02-08,Re-contextualized
3528941576506713,1983-09-18,solution-oriented
3579707309440407,1998-09-09,adapter
5100132013416762,1953-10-15,Switchable
3566307609247506,1970-09-08,algorithm
5100178218354001,1952-01-13,knowledge user
6377055948111758,1959-07-05,Enhanced
372301261053195,1954-06-17,attitude-oriented
3533479922543992,1967-07-09,Persistent
4175005600255426,1967-10-24,mobile
3578692309527943,1965-05-26,circuit
3573860800636308,1974-08-31,complexity
3555735053725416,1959-07-27,impactful
6394708679999622,1999-03-23,success
201813243676064,1981-02-08,even-keeled
5010126178982120,1988-11-14,interface
6331105321366046834,1969-04-22,systemic
676224757285693083,1966-06-22,circuit
3557319794695663,1986-12-18,clear-thinking
5602251022887939,1986-03-06,Ergonomic
3577333938875210,1957-07-26,Distributed
3538404663632056,1953-10-19,reciprocal
5602216711661556,1993-03-13,context-sensitive
30318499411247,1973-11-29,value-added
30311871656828,1959-12-13,zero tolerance
3528089077219749,1984-01-10,Versatile
5641823564171782,1995-04-05,context-sensitive
201530377368264,1998-03-30,Polarised
6771959063638556,1979-06-14,Upgradable
30433615685515,1951-04-08,grid-enabled
5602223765816243,1952-08-24,policy
3536095681945710,1991-11-30,optimizing
370168639897609,1985-07-01,Optimized
3534123341728631,1969-10-24,leverage
3570833756059976,1972-10-22,forecast
4175001349880723,1970-03-13,interface
3538342275371707,1975-01-16,client-driven
490507622241347717,1987-03-31,workforce
6709496038396696578,1966-09-19,ability
3533424441309566,1963-09-06,policy
3587943838813133,1971-04-05,hybrid
3539580454008686,1975-10-01,system engine
6759616302819415,1959-05-21,executive
3579764956801936,1995-02-15,strategy
3549583828932423,1967-02-18,mobile
3534301088971669,1950-06-04,Down-sized
3582534315803500,1982-11-07,architecture
5100131616201589,1964-01-10,neural-net
5602227967979387383,1955-11-30,composite
3552222648851349,1951-12-29,object-oriented
30076217392400,1972-11-30,structure
201654589761064,1980-01-04,standardization
3552663067167016,1984-09-10,secured line
30578398762392,1969-02-19,24 hour
372301578849517,1997-02-09,scalable
3577167845222813,1998-10-31,utilisation
5602215280199311,1971-05-20,next generation
5048376017663102,1974-01-18,policy
4017955275373049,1973-11-21,Reverse-engineered
30496155534476,1974-02-05,value-added
5602214036161782,1983-02-23,uniform
3557608002599596,1973-10-25,task-force
5498543621404539,1969-10-24,instruction set
201865885380496,1978-04-09,Pre-emptive
676127987393309011,1996-08-09,dynamic
30155844515102,1956-07-20,focus group
3546068624773026,1959-05-27,support
6382074433013307,1999-11-21,portal
373596423128657,1980-08-07,grid-enabled
3549131109099858,1973-05-18,data-warehouse
5010120794190515,1971-09-29,multi-tasking
372301118667015,1997-02-22,contextually-based
4508165002234276,1977-09-27,background
3580280638211425,1973-08-23,value-added
5038506719864218,1991-10-02,Synchronised
36019178490205,1954-09-30,focus group
3571399948090211,1990-11-20,Persistent
3537263563674514,1991-08-30,installation
6394240217586877,1957-06-08,framework
3587489192200079,1970-07-15,structure
3533224728536067,1984-11-27,dynamic
3578404024648438,1966-06-27,time-frame
3576743793729974,1999-02-12,Persistent
3570746845322165,1987-12-02,circuit
5401729641419732,1971-02-28,regional
3537662136120105,1996-01-28,methodology
3531968183875400,1962-01-19,open architecture
67610514157498743,1950-01-26,Extended
5409773611316660,1989-12-16,process improvement
201706657250725,1996-09-24,Digitized
5184972761709754,1974-02-11,hybrid
3555264531927908,1965-07-18,Upgradable
374288246378615,1991-11-03,artificial intelligence
3583150325986885,1987-08-30,pricing structure
3577082067598396,1980-05-13,bi-directional
677103606084193148,1992-04-09,Cross-group
3533131705842543,1987-09-22,systemic
3555147597572165,1955-08-10,Virtual
3543640435290458,1987-09-22,Compatible
67596015026485166,1984-02-23,definition
560221914258071693,1972-12-31,challenge
5189442328749961,1986-03-15,flexibility
3581676882440736,1973-05-14,holistic
3561266778177255,1982-11-15,core
30316301454686,1957-09-03,budgetary management
3571174591916024,1963-12-31,Proactive
3557129720180577,1982-09-26,Persevering
5108757844550835,1968-03-14,explicit
3557816437889306,1989-11-21,Cloned
5893000807170799,1986-12-02,conglomeration
6304646782542294,1980-03-27,fault-tolerant
30502293323779,1986-04-28,leverage
6333588046883209696,1978-10-19,4th generation
4017955029796263,1997-02-25,intangible
3589194107736039,1979-11-24,collaboration
6761306009690909406,1962-12-12,multimedia
3547600394155197,1958-12-05,upward-trending
6374188723210801,1990-11-16,Versatile
3589110574348751,1982-07-16,bandwidth-monitored
3549163335835821,1960-09-21,pricing structure
3564319804632970,1982-12-16,Function-based
676280479248838744,1971-01-05,demand-driven
5602215625813477,1997-01-08,Persevering
6331106091377301,1965-04-13,leading edge
3575867115128986,1986-09-06,Graphical User Interface
3548585744089700,1979-02-28,Distributed
30437363262484,1982-03-15,Universal
5602245970652178200,1996-12-10,Implemented
4175007984473336,1953-07-31,Horizontal
3586536586393703,1978-07-31,value-added
3587745592029503,1991-10-04,attitude
3540343818717097,1996-02-03,impactful
5602226426963118412,1992-07-08,open system
3580355718620438,1965-02-01,intranet
3568930602030351,1986-05-30,fault-tolerant
372301440093120,1998-05-17,Integrated
3542644209796485,1963-01-23,knowledge base
3579949009603278,1987-07-08,Persistent
676131345266076700,1986-10-05,info-mediaries
4017955825070,1952-07-06,homogeneous
3546568889000908,1981-02-11,Multi-channelled
3584756560943800,1962-06-01,methodical
4026241071489381,1997-10-01,Monitored
3566395940174406,1983-11-06,Cross-platform
3539518075257993,1993-12-16,directional
3568657600471051,1971-04-01,mobile
5220685829775817,1993-12-11,infrastructure
4917005849601920,1959-08-14,Streamlined
6706089207683845,1953-07-22,access
4624976598584,1972-01-20,Versatile
3563195631336980,1998-05-17,complexity
3553436387507024,1951-11-06,Automated
3587000903796972,1995-05-02,directional
3534150344808763,1952-12-31,emulation
63047337141387059,2000-12-17,bandwidth-monitored
4917321873614014,1986-01-19,Team-oriented
561091546672862946,1977-08-20,content-based
3586723176692997,1980-01-29,methodology
63040581428221377,1956-04-18,24/7
677178969849192387,1964-01-12,Programmable
6767741343664321,1972-05-09,Assimilated
201628604394499,1987-06-28,upward-trending
3533875933449196,1954-05-26,reciprocal
5238358166984885,1978-01-19,Devolved
4026317387084601,1962-12-30,object-oriented
36752722355793,1989-06-14,demand-driven
560224476229547745,1987-02-08,dedicated
5602240413908446,1979-08-08,website
3589755118041096,1972-12-10,access
348827542164790,1950-07-21,system engine
501837850420927448,1972-03-08,Expanded
3548491153807940,1972-06-08,product
4175000880041679,1981-01-14,User-centric
3568722471029048,1983-09-02,mobile
3544131826498339,1961-06-28,intermediate
3560112754964897,1985-01-08,parallelism
3542284220847619,1982-07-07,Multi-lateral
3558406978410834,1999-11-05,24/7
30190589079139,1989-03-11,collaboration
5475913234353737,1996-09-11,directional
376876716746036,1952-07-13,holistic
6399948563724448,1968-06-07,disintermediate
3549425129430923,1976-11-30,Operative
3555570139643147,1968-01-23,Switchable
3539525905344941,1978-05-31,software
6304824510874566,1989-06-01,real-time
5602226946233980,1993-01-02,Ameliorated
3534638090503570,1963-06-22,database
201758977119296,1983-02-03,Advanced
3554865915796510,1987-11-05,local area network
633399975482940004,1991-02-08,Customizable
3545369994942006,1993-01-16,moratorium
633110979120526785,2000-03-19,Diverse
3558985489477887,1989-10-24,leading edge
5010127270758962,1959-07-15,interface
0604192784600461228,2000-06-02,orchestration
3531335875461008,1977-06-14,context-sensitive
3564331988479664,1951-11-28,synergy
3530743630653523,1984-02-15,parallelism
3540906104349310,1998-10-04,encompassing
6767986810624734,1959-10-19,capacity
67717651498420226,1959-05-06,interface
6709487668697204234,1990-12-10,methodology
370957792754890,1987-03-18,systematic
5321543340505619,1998-04-23,Profound
4041592749051099,1998-11-22,Networked
201521862327469,1960-07-13,concept
374622392421722,1959-11-06,hub
3531224104220007,1989-02-18,Focused
3556131879243967,1993-09-17,3rd generation
6767821360031099,1992-10-21,pricing structure
564182422011288959,1959-04-14,solution-oriented
3536905420604347,1991-06-11,conglomeration
6379963730754586,1967-10-14,concept
5527470344363823,1981-02-02,Graphic Interface
3528872440709953,1974-09-04,Universal
5602216140888754,1957-07-15,customer loyalty
4844374728133472,1964-05-11,even-keeled
3563465181671064,1957-03-21,De-engineered
5018908132514459,1963-01-10,Diverse
6771359101251807114,1974-05-17,hierarchy
3530490408637706,1996-03-15,bi-directional
3572684690429827,1958-07-26,full-range
6767366633220644847,1984-11-17,full-range
3562179116056777,1956-11-11,leading edge
201818549289587,1962-09-02,Streamlined
3532674798406990,1999-10-16,motivating
3556195329561062,1968-08-31,dynamic
201509200427810,1950-01-27,Synergistic
493636414144353838,1959-09-21,firmware
67714576235486094,1996-05-04,solution-oriented
3562952316181839,1999-11-23,local
5100172134011597,1968-09-08,mission-critical
5020639365619402273,1956-03-02,portal
201778227420039,1997-12-07,encryption
3581700426051450,1982-01-06,emulation
201935828392666,1966-05-09,discrete
5311514652022776,1998-01-05,Proactive
560222600596204471,1973-12-17,Enterprise-wide
3573731979461507,1983-05-14,contextually-based
6763176173436777,1956-04-19,cohesive
3535030900996880,1954-12-13,help-desk
374288144800207,1986-09-05,zero defect
3564839064912994,1982-12-14,neutral
4844669335413260,1974-05-27,methodical
6771040725434096,1968-08-26,Optional
30040882733041,1973-08-12,even-keeled
3528677825920640,1974-06-03,transitional
4405838918804002,1999-01-05,cohesive
5641823726905732617,1959-03-01,Synergistic
370060279755322,1978-11-16,access
3564791641064445,1962-01-11,Horizontal
3578205893489642,1957-05-29,well-modulated
502039338657744896,1962-10-26,24/7
50203698269913571,1962-01-17,Inverse
374283393659255,1959-03-08,Synchronised
3547534179122082,1974-11-28,Progressive
36073340363444,1978-04-10,asymmetric
4041598990513,1988-10-17,maximized
30506171584360,1995-05-05,Versatile
677106202858878846,1954-10-09,6th generation
6304360408468140438,1963-11-20,model
3584527513362848,1979-08-28,Innovative
4508466954829968,2000-11-02,Ergonomic
3578661431366082,1969-07-09,non-volatile
3558507821120445,1950-08-23,intranet
30143454772312,1980-04-15,info-mediaries
3580771089560161,1966-03-13,portal
3587428140539550,1986-02-18,structure
670945867520821810,1994-07-20,capacity
3536094209077635,1978-04-07,Up-sized
3544923689454288,1955-03-08,Decentralized
5510434984769813,1960-02-26,encoding
5048374316879438,1981-09-19,methodical
337941611952598,1978-01-31,tertiary
3577147332533104,1974-08-01,holistic
3567578240934368,1958-07-25,standardization
5566577518727799,1994-02-24,3rd generation
6381736339914470,1952-06-28,bottom-line
201669672484796,1970-06-12,budgetary management
30573252484985,1975-10-21,throughput
3529496381103668,1999-05-15,4th generation
3574540374159726,1956-07-09,Multi-layered
5471019186194949,1957-08-20,Virtual
6759093523794839708,1959-03-01,database
3577357540694305,1981-04-16,Compatible
5602238768598531,1995-06-05,toolset
3530040740844302,1988-09-08,workforce
3540316461972821,1986-10-28,Open-architected
56102388337040743,1981-11-29,multi-state
5282847805873181,1997-03-12,national
4844829750555652,1960-10-06,tangible
201778345784134,1963-07-23,Reverse-engineered
3569401957224337,1994-10-25,open architecture
30087703199225,1977-07-07,Horizontal
6767609079627947,1970-02-08,throughput
3587186254644125,1953-12-02,executive
201477598600267,1980-07-13,ability
6759789725006946184,1999-08-07,system engine
3587029108339999,1963-07-16,Diverse
5010128146009044,1965-12-25,intermediate
3588516351068407,1980-07-08,project
5610449617000617879,1991-07-02,structure
5002354258677499,1995-10-16,cohesive
4175000835631624,1956-06-02,heuristic
3530682513985190,1960-01-06,User-friendly
5429365823517957,1985-05-11,Realigned
5893971843816050,1986-10-27,superstructure
490378278490578290,1963-08-17,hub
5602256736772814362,1987-06-12,customer loyalty
5100179303711493,1972-01-01,motivating
50182175200431513,1954-06-22,monitoring
5602223538292052,1964-07-05,client-driven
67590548401411791,1990-11-08,Managed
4041597213171521,1966-04-16,real-time
5893580043795985663,1979-06-03,toolset
3577452956549372,1961-09-05,local
3538611237285191,1975-03-22,Automated
5577664461874427,1990-01-06,benchmark
5610931110765986,1994-04-06,Compatible
4919494082375053,1979-06-21,success
5578167471384709,1988-01-24,info-mediaries
374288500239420,1960-05-20,Decentralized
3540988122594648,1952-08-10,moderator
5007664214812401,1983-04-16,holistic
3533594728032915,1984-08-20,Profit-focused
5002351203186477,1950-07-29,emulation
4185992051339734,1958-10-25,Object-based
5432108099520064,1992-08-31,system engine
589300959376386419,1966-08-24,holistic
490525100793867810,1956-03-27,data-warehouse
201754643335093,1971-09-26,archive
3575370621460019,1989-12-30,24 hour
3541103923911541,1962-05-12,encompassing
5100037692650369,1995-01-21,Robust
30047139967868,1961-04-18,Versatile
3558533295205058,1989-09-16,Ameliorated
564182942192430617,1959-11-13,solution
337941392637871,1976-04-02,tangible
201504763888169,1964-07-28,web-enabled
493674919259606120,1982-03-23,standardization
4913282937713602,1981-10-25,stable
3535407719305927,1998-11-24,Implemented
3580294872157608,1982-10-04,Versatile
3545258477064729,1968-10-16,emulation
491144020939780082,1994-10-07,Synergistic
3543131631823276,1986-05-02,24 hour
3551214107979084,1987-03-15,Cross-group
490591951543974200,2000-01-04,moderator
3561079108185025,1974-07-09,neural-net
5893773286125833114,1958-12-30,fresh-thinking
675984524733080574,1955-07-20,encryption
3540328712090881,1979-01-07,logistical
372301209600297,1973-08-30,Up-sized
5602224939674807,1969-08-17,Multi-lateral
3532810470902738,2000-01-29,Assimilated
3536813917296645,1954-11-29,neutral
3544791855487105,1967-06-12,asynchronous
4508277594638747,1994-08-12,intermediate
6375671496424070,1963-12-26,internet solution
201733828454176,1967-02-12,Decentralized
30311330085668,1974-01-12,Networked
56022397010103568,1951-09-01,challenge
67094131339283128,1989-06-24,customer loyalty
560222603100296348,1981-02-28,website
201650719213877,1952-03-15,Polarised
6304032515476796130,1986-01-24,high-level
5020014600361337,1988-02-21,focus group
3580154697658729,1974-01-17,Fundamental
6333277864152425,1984-10-30,Organic
3584566795578770,1991-04-15,well-modulated
6771822281955931,1964-11-25,Synchronised
3542085456488840,1992-06-01,Seamless
3537132398805843,1979-03-26,Open-source
5501424603345831,1986-05-01,impactful
5038463202479866,1995-09-05,ability
3547857485829755,1999-04-16,reciprocal
5602252133948292323,1994-02-15,task-force
3538587728026361,1986-06-01,Graphical User Interface
374622855290721,1964-03-10,emulation
3589867473844004,1971-02-03,systematic
5048376127987037,1962-06-24,installation
3589534723548211,1961-06-17,paradigm
6391306672839839,1991-02-12,application
3545953789815491,1983-08-12,help-desk
3567037716206116,1990-05-07,heuristic
6370029381087624,1961-10-15,Synchronised
30267073887944,1990-06-29,Multi-lateral
3532081555014159,1966-05-23,global
374283061291290,1960-11-06,Configurable
3576622232340058,1979-08-26,moderator
3576923944525428,1985-04-21,Down-sized
3546550615434825,1976-08-22,eco-centric
5602216215858377,1974-10-16,synergy
5002357257932567,1962-07-27,functionalities
3538824987485941,1950-11-29,Cross-group
4175001216039387,1952-02-18,hybrid
4175003407268841,1979-01-26,Inverse
6333656169481950425,1986-04-27,access
3582769398001362,1972-08-30,Up-sized
3548484510214157,1992-05-16,Total
